Timestamp,Job Post Link,Job Title,Job Type,Seniority Level,Posted At,Company Name,Company Website,Salary,Description,Resume Path,Application URL,Relevance Score,Application Status,Notes
2026-02-07T23:14:03.135137,https://fr.linkedin.com/jobs/view/global-editorial-content-marketing-stage-intern-paris-at-cozycozy-com-4337099031?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=lQ3UhALmdZBf3pExPHbyxg%3D%3D&position=24&pageNum=0,"Global Editorial Content Marketing Stage / Intern, Paris",Internship,Not Applicable,2025-11-20,cozycozy.com,https://www.cozycozy.com,,,,https://fr.linkedin.com/jobs/view/global-editorial-content-marketing-stage-intern-paris-at-cozycozy-com-4337099031?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=lQ3UhALmdZBf3pExPHbyxg%3D%3D&position=24&pageNum=0,0,Skipped,Skipped: No job description available
2026-02-07T23:14:03.140528,https://fr.linkedin.com/jobs/view/strategy-consultant-internship-private-equity-lyon-f-h-at-indefi-4325718969?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=bM17Rl%2BXmOa2EV%2F7H6pJZg%3D%3D&position=25&pageNum=0,Strategy Consultant Internship - Private Equity - Lyon F/H,Internship,Internship,2025-12-04,INDEFI,http://www.indefi.com,,,,https://fr.linkedin.com/jobs/view/strategy-consultant-internship-private-equity-lyon-f-h-at-indefi-4325718969?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=bM17Rl%2BXmOa2EV%2F7H6pJZg%3D%3D&position=25&pageNum=0,0,Skipped,Skipped: No job description available
2026-02-07T23:14:03.145287,https://fr.linkedin.com/jobs/view/revenue-operations-intern-at-swan-4329689579?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=tsDtDVlfh43mSk37a6Zqzw%3D%3D&position=22&pageNum=0,Revenue Operations Intern,Internship,Internship,2025-12-31,Swan,https://swan.io,,,,https://fr.linkedin.com/jobs/view/revenue-operations-intern-at-swan-4329689579?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=tsDtDVlfh43mSk37a6Zqzw%3D%3D&position=22&pageNum=0,0,Skipped,Skipped: No job description available
2026-02-07T23:14:03.150799,https://fr.linkedin.com/jobs/view/intern-global-talent-acquisition-project-management-h-f-at-lacoste-4297589491?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=DUZqCHP9qjh1Rx60ZJ29Yw%3D%3D&position=23&pageNum=0,Intern Global Talent Acquisition Project Management (H/F),Full-time,Not Applicable,2025-09-08,Lacoste,https://corporate.lacoste.com/,,,,https://fr.linkedin.com/jobs/view/intern-global-talent-acquisition-project-management-h-f-at-lacoste-4297589491?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=DUZqCHP9qjh1Rx60ZJ29Yw%3D%3D&position=23&pageNum=0,0,Skipped,Skipped: No job description available
2026-02-07T23:14:03.155930,https://fr.linkedin.com/jobs/view/stage-assistant-consultant-paid-social-h-f-at-dentsu-4345376920?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=lHI%2BQV8K2ZFZfoU57CmqdA%3D%3D&position=19&pageNum=0,STAGE - Assistant Consultant Paid Social H/F,Full-time,Internship,2026-01-12,dentsu,https://bit.ly/3lDa6Ff,,,,https://fr.linkedin.com/jobs/view/stage-assistant-consultant-paid-social-h-f-at-dentsu-4345376920?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=lHI%2BQV8K2ZFZfoU57CmqdA%3D%3D&position=19&pageNum=0,0,Skipped,Skipped: No job description available
2026-02-07T23:14:03.161263,https://fr.linkedin.com/jobs/view/oliver-wyman-stage-2a-polytechnique-paris-france-at-oliver-wyman-4359427349?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=E0XVYRIzueZ%2B6SSqXnCXzg%3D%3D&position=20&pageNum=0,Oliver Wyman - Stage 2A Polytechnique - Paris (France),Internship,Not Applicable,2026-01-31,Oliver Wyman,http://www.oliverwyman.com,,,,https://fr.linkedin.com/jobs/view/oliver-wyman-stage-2a-polytechnique-paris-france-at-oliver-wyman-4359427349?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=E0XVYRIzueZ%2B6SSqXnCXzg%3D%3D&position=20&pageNum=0,0,Skipped,Skipped: No job description available
2026-02-07T23:14:03.167099,https://fr.linkedin.com/jobs/view/stage-marketing-operations-f-h-at-worldline-4332768064?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=6nDVxO%2FZXrKmawzQxLkpLA%3D%3D&position=21&pageNum=0,Stage - Marketing Operations (F/H),Internship,Entry level,2026-02-06,Worldline,http://worldline.com,,,,https://fr.linkedin.com/jobs/view/stage-marketing-operations-f-h-at-worldline-4332768064?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=6nDVxO%2FZXrKmawzQxLkpLA%3D%3D&position=21&pageNum=0,0,Skipped,Skipped: No job description available
2026-02-07T23:14:03.171233,https://fr.linkedin.com/jobs/view/kering-data-product-owner-stage-at-kering-4361320470?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=vtgAwIhg5Q0oIIwmHJbk7g%3D%3D&position=18&pageNum=0,KERING Data Product Owner (stage),Full-time,Internship,2026-01-13,Kering,https://www.kering.com/en,,,,https://fr.linkedin.com/jobs/view/kering-data-product-owner-stage-at-kering-4361320470?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=vtgAwIhg5Q0oIIwmHJbk7g%3D%3D&position=18&pageNum=0,0,Skipped,Skipped: No job description available
2026-02-07T23:14:03.175611,https://fr.linkedin.com/jobs/view/intern-web-editor-gq-at-cond%C3%A9-nast-4362960775?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=%2B%2FOY0Lc%2FB8PxGrRC33p4xQ%3D%3D&position=14&pageNum=0,Intern Web Editor GQ,Full-time,Internship,2026-02-05,Condé Nast,http://www.condenast.com,,,,https://fr.linkedin.com/jobs/view/intern-web-editor-gq-at-cond%C3%A9-nast-4362960775?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=%2B%2FOY0Lc%2FB8PxGrRC33p4xQ%3D%3D&position=14&pageNum=0,0,Skipped,Skipped: No job description available
2026-02-07T23:14:03.181906,https://fr.linkedin.com/jobs/view/stage-global-strategy-intern-h-f-at-edenred-4365982064?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=OBeWqKSWvLIT7If%2F6w1VSA%3D%3D&position=16&pageNum=0,Stage - Global Strategy Intern (H/F),Internship,Internship,2026-01-27,Edenred,https://www.edenred.com,,,,https://fr.linkedin.com/jobs/view/stage-global-strategy-intern-h-f-at-edenred-4365982064?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=OBeWqKSWvLIT7If%2F6w1VSA%3D%3D&position=16&pageNum=0,0,Skipped,Skipped: No job description available
2026-02-07T23:14:03.187080,https://fr.linkedin.com/jobs/view/strategy-consultant-internship-private-equity-paris-f-h-at-indefi-4362145931?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=kluoyr6MdGCacE0v0JN1pA%3D%3D&position=13&pageNum=0,Strategy Consultant Internship - Private Equity - Paris F/H,Internship,Internship,2026-01-22,INDEFI,http://www.indefi.com,,,,https://fr.linkedin.com/jobs/view/strategy-consultant-internship-private-equity-paris-f-h-at-indefi-4362145931?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=kluoyr6MdGCacE0v0JN1pA%3D%3D&position=13&pageNum=0,0,Skipped,Skipped: No job description available
2026-02-07T23:14:03.191309,https://fr.linkedin.com/jobs/view/corporate-strategy-analyst-stage-paris-at-papernest-4367849121?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=AeFL6bExzQ8Ks95jWICv5A%3D%3D&position=17&pageNum=0,Corporate Strategy Analyst - Stage - Paris,Other,Not Applicable,2026-01-21,papernest,http://www.papernest.com,,,,https://fr.linkedin.com/jobs/view/corporate-strategy-analyst-stage-paris-at-papernest-4367849121?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=AeFL6bExzQ8Ks95jWICv5A%3D%3D&position=17&pageNum=0,0,Skipped,Skipped: No job description available
2026-02-07T23:14:03.197082,https://fr.linkedin.com/jobs/view/data-science-internship-warehouse-optimisation-at-bigblue-4334828942?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=Kb2i9B9L1fZilp9KzpIEWw%3D%3D&position=15&pageNum=0,Data Science Internship - Warehouse optimisation,Internship,Not Applicable,2025-11-07,Bigblue,https://www.bigblue.co/,,,,https://fr.linkedin.com/jobs/view/data-science-internship-warehouse-optimisation-at-bigblue-4334828942?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=Kb2i9B9L1fZilp9KzpIEWw%3D%3D&position=15&pageNum=0,0,Skipped,Skipped: No job description available
