Timestamp,Job Post Link,Job Title,Job Type,Seniority Level,Posted At,Company Name,Company Website,Salary,Description,Resume Path,Application URL,Relevance Score,Application Status,Notes
2026-02-08T14:35:53.986194,https://fr.linkedin.com/jobs/view/data-science-internship-warehouse-optimisation-at-bigblue-4334828942?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=Kb2i9B9L1fZilp9KzpIEWw%3D%3D&position=15&pageNum=0,Data Science Internship - Warehouse optimisation,Internship,Not Applicable,2025-11-07,Bigblue,https://www.bigblue.co/,,,track\resumes\Bigblue\Data_Science_Internship_Warehouse_optimisation\resume_Bigblue_Data_Science_Internship_Warehouse_optimisation_2026-02-08.pdf,https://fr.linkedin.com/jobs/view/data-science-internship-warehouse-optimisation-at-bigblue-4334828942?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=Kb2i9B9L1fZilp9KzpIEWw%3D%3D&position=15&pageNum=0,7,Applied,"Match: data scien, machine learning engineer intern, data scientist intern. Title contains ML/Data keywords: data scien"
2026-02-08T14:35:53.992738,https://fr.linkedin.com/jobs/view/data-analyst-assistant-operations-europe-stage-f-h-at-christian-dior-couture-4328475713?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=cAzGvHA2yNHZ2ccVYquH8w%3D%3D&position=8&pageNum=0,Data Analyst Assistant Operations Europe - Stage F/H,Full-time,Internship,2026-02-02,Christian Dior Couture,https://www.dior.com/carrieres/index.html,,,,https://fr.linkedin.com/jobs/view/data-analyst-assistant-operations-europe-stage-f-h-at-christian-dior-couture-4328475713?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=cAzGvHA2yNHZ2ccVYquH8w%3D%3D&position=8&pageNum=0,5,Skipped,Skipped: Role match but missing technical keywords: data scientist intern
2026-02-08T14:35:53.996705,https://fr.linkedin.com/jobs/view/vc-analyst-intern-at-wind-4353019038?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=iu%2B3C4iBlyDkhbup6EqcXw%3D%3D&position=12&pageNum=0,VC Analyst Intern,Internship,Internship,2026-01-15,Wind,http://wind.capital,,,,https://fr.linkedin.com/jobs/view/vc-analyst-intern-at-wind-4353019038?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=iu%2B3C4iBlyDkhbup6EqcXw%3D%3D&position=12&pageNum=0,5,Skipped,"Skipped: Role match but missing technical keywords: machine learning engineer intern, data scientist intern, ai engineer intern, research intern"
2026-02-08T14:35:54.002000,https://fr.linkedin.com/jobs/view/internship-chief-of-staff-at-twoway-4357429590?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=2%2FgPiHY1i%2Fy2o5AyZdxKrQ%3D%3D&position=9&pageNum=0,[Internship] Chief of Staff,Internship,Internship,2026-02-03,TwoWay,https://www.twoway.finance/,,,,https://fr.linkedin.com/jobs/view/internship-chief-of-staff-at-twoway-4357429590?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=2%2FgPiHY1i%2Fy2o5AyZdxKrQ%3D%3D&position=9&pageNum=0,5,Skipped,"Skipped: Role match but missing technical keywords: machine learning engineer intern, data scientist intern, ai engineer intern, research intern"
2026-02-08T14:35:54.006591,https://fr.linkedin.com/jobs/view/founder-associate-intern-at-n%C5%ABmi%C2%AE-4336590083?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=4U5L%2FZ5zntj%2BBZdRIH36AQ%3D%3D&position=10&pageNum=0,Founder associate intern,Internship,Internship,2025-10-23,Nūmi®,https://www.numi.life/,,,,https://fr.linkedin.com/jobs/view/founder-associate-intern-at-n%C5%ABmi%C2%AE-4336590083?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=4U5L%2FZ5zntj%2BBZdRIH36AQ%3D%3D&position=10&pageNum=0,5,Skipped,"Skipped: Role match but missing technical keywords: machine learning engineer intern, data scientist intern, ai engineer intern, research intern"
2026-02-08T14:35:54.010126,https://fr.linkedin.com/jobs/view/technology-growth-equity-investment-intern-starting-july-september-2026-for-6-months-at-revaia-4365517336?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=%2BhBFhY4DJR9%2F1H%2FQuyE9Ug%3D%3D&position=11&pageNum=0,Technology Growth Equity - Investment Intern - Starting July/September 2026 for 6 months,Internship,Internship,2026-01-23,Revaia,https://revaia.com,,,,https://fr.linkedin.com/jobs/view/technology-growth-equity-investment-intern-starting-july-september-2026-for-6-months-at-revaia-4365517336?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=%2BhBFhY4DJR9%2F1H%2FQuyE9Ug%3D%3D&position=11&pageNum=0,5,Skipped,"Skipped: Role match but missing technical keywords: machine learning engineer intern, data scientist intern, ai engineer intern, research intern"
2026-02-08T14:35:54.013630,https://fr.linkedin.com/jobs/view/intern-chinese-project-analyst-h-f-at-richemont-4360856769?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=9JI8hZwggGaIYhkx91%2BsXQ%3D%3D&position=6&pageNum=0,Intern - Chinese Project Analyst (H/F),Full-time,Internship,2026-01-19,Richemont,http://www.richemont.com/,,,,https://fr.linkedin.com/jobs/view/intern-chinese-project-analyst-h-f-at-richemont-4360856769?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=9JI8hZwggGaIYhkx91%2BsXQ%3D%3D&position=6&pageNum=0,5,Skipped,"Skipped: Role match but missing technical keywords: machine learning engineer intern, data scientist intern, ai engineer intern, research intern"
2026-02-08T14:35:54.018214,https://fr.linkedin.com/jobs/view/stage-marketing-analyst-consumer-insight-h-f-at-richemont-4368757407?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=%2FLkfwuAKrZxpVBMAoDYudg%3D%3D&position=5&pageNum=0,Stage - Marketing Analyst Consumer Insight (H/F),Full-time,Internship,2026-02-04,Richemont,http://www.richemont.com/,,,,https://fr.linkedin.com/jobs/view/stage-marketing-analyst-consumer-insight-h-f-at-richemont-4368757407?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=%2FLkfwuAKrZxpVBMAoDYudg%3D%3D&position=5&pageNum=0,0,Skipped,Skipped: Job title 'Stage - Marketing Analyst Consumer Insight (H/F)' doesn't match ML/Data keywords
2026-02-08T14:35:54.022775,https://fr.linkedin.com/jobs/view/software-engineering-full-stack-intern-in-sydney-australia-at-inautalent-4366978981?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=2pKtRIGC4A%2FcHqrFOf89uA%3D%3D&position=3&pageNum=0,"Software Engineering (Full-Stack) Intern - in Sydney, Australia",Full-time,Internship,2026-01-29,INAUTALENT,https://inautalent.com/,,,,https://fr.linkedin.com/jobs/view/software-engineering-full-stack-intern-in-sydney-australia-at-inautalent-4366978981?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=2pKtRIGC4A%2FcHqrFOf89uA%3D%3D&position=3&pageNum=0,5,Skipped,"Skipped: Role match but missing technical keywords: machine learning engineer intern, data scientist intern, ai engineer intern, research intern"
2026-02-08T14:35:54.027336,https://fr.linkedin.com/jobs/view/stage-assistant-e-chef-de-projet-marketing-ev%C3%A8nementiel-horlogerie-joaillerie-europe-juillet-2026-at-chanel-4329220344?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=9adg51Ng8zLXDyPSTfoiYg%3D%3D&position=1&pageNum=0,STAGE - Assistant(e) Chef de Projet Marketing & Evènementiel - Horlogerie Joaillerie EUROPE - Juillet 2026,Full-time,Internship,2026-02-04,CHANEL,http://www.chanel.com,,,,https://fr.linkedin.com/jobs/view/stage-assistant-e-chef-de-projet-marketing-ev%C3%A8nementiel-horlogerie-joaillerie-europe-juillet-2026-at-chanel-4329220344?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=9adg51Ng8zLXDyPSTfoiYg%3D%3D&position=1&pageNum=0,0,Skipped,Skipped: Job title 'STAGE - Assistant(e) Chef de Projet Marketing & Evènementiel - Horlogerie Joaillerie EUROPE - Juillet 2026' doesn't match ML/Data keywords
